PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
4600607,116211,2015-11-22T12:00:00Z,16.1390,164.9810,0,-8.9,-4.1,-0.15,-0.07,0.5,313,15,-0.479,-0.041,001117111171111
4600607,116211,2015-11-22T13:00:00Z,16.1408,164.9963,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-22T14:00:00Z,16.1408,164.9963,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-22T15:00:00Z,16.1320,164.9380,0,-8,-4.9,-0.11,-0.06,0.5,313,15,-0.43,-0.062,001117111171111
4600607,116211,2015-11-22T16:00:00Z,16.1408,164.9963,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-22T17:00:00Z,16.1273,164.8938,0,,,,,,,,,,001447999999999
4600607,116211,2015-11-22T18:00:00Z,16.1270,164.8940,0,-8.3,-3.9,-0.11,-0.06,0.5,313,15,-0.484,0.005,001117111171111
4600607,116211,2015-11-22T19:00:00Z,16.1273,164.8938,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-22T20:00:00Z,16.1305,164.8692,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-22T21:00:00Z,16.1330,164.8400,0,-8.7,-3.1,-0.13,-0.05,0.5,313,15,-0.563,0.041,001117111171111
4600607,116211,2015-11-22T22:00:00Z,16.1338,164.8195,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-22T23:00:00Z,16.1338,164.8195,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-23T00:00:00Z,16.1350,164.7800,0,-9.6,-4,-0.14,-0.04,0.5,313,15,-0.544,0.098,001117111171111
4600607,116211,2015-11-23T01:00:00Z,16.1336,164.7885,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-23T02:00:00Z,16.1491,164.7352,0,,,,,,,,,,001447999999999
4600607,116211,2015-11-23T03:00:00Z,16.1520,164.7300,0,-9,-2.6,-0.13,-0.04,0.5,313,15,-0.445,0.226,001117111171111
4600607,116211,2015-11-23T04:00:00Z,16.1491,164.7352,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-23T05:00:00Z,16.1491,164.7352,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-23T06:00:00Z,16.1790,164.6900,0,-9.1,-3.6,-0.14,-0.05,0.5,313,15,-0.375,0.278,001117111171111
4600607,116211,2015-11-23T07:00:00Z,16.1833,164.6837,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-23T08:00:00Z,16.1833,164.6837,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-23T09:00:00Z,16.2060,164.6540,0,-9.8,-4.3,-0.16,-0.06,0.5,313,15,-0.291,0.154,001117111171111
4600607,116211,2015-11-23T10:00:00Z,16.2116,164.6426,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-23T12:00:00Z,16.2090,164.6310,0,-9.1,-4.5,-0.17,-0.07,0.5,313,15,-0.272,-0.01,001117111171111
4600607,116211,2015-11-23T13:00:00Z,16.2098,164.6427,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-23T14:00:00Z,16.2033,164.5946,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-23T15:00:00Z,16.2040,164.5990,0,-9.3,-5.1,-0.15,-0.08,0.5,313,15,-0.311,-0.093,001117111171111
4600607,116211,2015-11-23T16:00:00Z,16.2042,164.5953,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-23T17:00:00Z,16.2042,164.5953,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-23T18:00:00Z,16.1910,164.5680,0,-9.3,-5.8,-0.15,-0.09,0.5,313,15,-0.38,-0.139,001117111171111
4600607,116211,2015-11-23T19:00:00Z,16.1865,164.5582,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-23T20:00:00Z,16.1894,164.5507,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-23T21:00:00Z,16.1770,164.5220,0,-8.5,-5.8,-0.14,-0.08,0.5,313,15,-0.42,-0.149,001117111171111
4600607,116211,2015-11-23T22:00:00Z,16.1729,164.5113,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-23T23:00:00Z,16.1729,164.5113,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-24T00:00:00Z,16.1620,164.4830,0,-8.8,-3.6,-0.12,-0.06,0.5,313,15,-0.474,-0.103,001117111171111
4600607,116211,2015-11-24T01:00:00Z,16.1556,164.4319,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-24T02:00:00Z,16.1556,164.4319,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-24T03:00:00Z,16.1570,164.4260,0,-8.4,-3.1,-0.11,-0.04,0.5,313,15,-0.593,0.021,001117111171111
4600607,116211,2015-11-24T04:00:00Z,16.1633,164.4027,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-24T05:00:00Z,16.1633,164.4027,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-24T06:00:00Z,16.1660,164.3630,0,-8.3,-2.8,-0.12,-0.04,0.5,313,15,-0.474,0.072,001117111171111
4600607,116211,2015-11-24T07:00:00Z,16.1718,164.3451,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-24T08:00:00Z,16.1718,164.3451,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-24T09:00:00Z,16.1710,164.3300,0,-9.5,-2.9,-0.14,-0.04,0.5,313,15,-0.43,0.021,001117111171111
4600607,116211,2015-11-24T10:00:00Z,16.1700,164.3245,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-24T12:00:00Z,16.1700,164.2760,0,-8.6,-2.7,-0.14,-0.04,0.5,313,15,-0.504,0.026,001117111171111
4600607,116211,2015-11-24T13:00:00Z,16.1758,164.2264,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-24T14:00:00Z,16.1758,164.2264,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-24T15:00:00Z,16.1760,164.2280,0,-8.7,-3.2,-0.12,-0.05,0.5,313,15,-0.455,0.118,001117111171111
4600607,116211,2015-11-24T16:00:00Z,16.1758,164.2264,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-24T17:00:00Z,16.1950,164.1773,0,,,,,,,,,,001447999999999
4600607,116211,2015-11-24T18:00:00Z,16.1930,164.1840,0,-9,-4.1,-0.14,-0.06,0.5,313,15,-0.375,0.067,001117111171111
4600607,116211,2015-11-24T20:00:00Z,16.1969,164.1753,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-24T21:00:00Z,16.1890,164.1520,0,-9.6,-3.1,-0.15,-0.05,0.5,313,15,-0.336,-0.118,001117111171111
4600607,116211,2015-11-24T22:00:00Z,16.1969,164.1753,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-24T23:00:00Z,16.1770,164.1311,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-25T00:00:00Z,16.1700,164.1160,0,-8.2,-4.5,-0.13,-0.06,0.5,313,15,-0.44,-0.18,001117111171111
4600607,116211,2015-11-25T01:00:00Z,16.1540,164.0748,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-25T02:00:00Z,16.1540,164.0748,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-25T03:00:00Z,16.1540,164.0630,0,-8.5,-4.5,-0.13,-0.07,0.5,313,15,-0.445,-0.098,001117111171111
4600607,116211,2015-11-25T04:00:00Z,16.1552,164.0441,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-25T05:00:00Z,16.1502,164.0306,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-25T06:00:00Z,16.1510,164.0260,0,-9.6,-4.5,-0.15,-0.07,0.5,313,15,-0.336,-0.057,001117111171111
4600607,116211,2015-11-25T07:00:00Z,16.1502,164.0306,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-25T08:00:00Z,16.1536,164.0166,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-25T09:00:00Z,16.1430,163.9950,0,-10.4,-3.6,-0.18,-0.07,0.5,313,15,-0.326,-0.113,001117111171111
4600607,116211,2015-11-25T10:00:00Z,16.1374,163.9822,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-25T11:00:00Z,16.1350,163.9781,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-25T12:00:00Z,16.1290,163.9600,0,-10,-3.2,-0.17,-0.05,0.5,313,15,-0.474,-0.18,001117111171111
4600607,116211,2015-11-25T13:00:00Z,16.1092,163.9000,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-25T14:00:00Z,16.1092,163.9000,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-25T15:00:00Z,16.1080,163.8990,0,-9.7,-2.4,-0.15,-0.04,0.5,313,15,-0.499,-0.175,001117111171111
4600607,116211,2015-11-25T16:00:00Z,16.1092,163.9000,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-25T17:00:00Z,16.0944,163.8531,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-25T18:00:00Z,16.0950,163.8590,0,-9.6,-3,-0.14,-0.04,0.5,313,15,-0.45,-0.093,001117111171111
4600607,116211,2015-11-25T19:00:00Z,16.0944,163.8531,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-25T20:00:00Z,16.0999,163.8268,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-25T21:00:00Z,16.0900,163.8080,0,-9.1,-4.1,-0.15,-0.06,0.5,313,15,-0.47,-0.134,001117111171111
4600607,116211,2015-11-25T22:00:00Z,16.0765,163.7860,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-26T00:00:00Z,16.0690,163.7640,0,-9.3,-3,-0.15,-0.05,0.5,313,15,-0.425,-0.17,001117111171111
4600607,116211,2015-11-26T01:00:00Z,16.0765,163.7860,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-26T02:00:00Z,16.0765,163.7860,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-26T03:00:00Z,16.0570,163.7220,0,-9.5,-2.7,-0.13,-0.04,0.5,313,15,-0.326,-0.165,001117111171111
4600607,116211,2015-11-26T04:00:00Z,16.0528,163.7117,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-26T05:00:00Z,16.0528,163.7117,0,,,,,,,,,,001117999999999
4600607,116211,2015-11-26T06:00:00Z,16.0370,163.6980,0,-9.3,-2,-0.14,-0.03,0.5,313,15,-0.312,-0.165,001117111171111
4600607,116211,2015-11-26T07:00:00Z,16.0320,163.6930,0,,,,,,,,,,001117999999999
