PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
2200628,132596,2015-11-01T00:00:00Z,43.0890,153.9190,0,8.7,1.8,0.13,0.03,0.5,313,15,0.15,0.195,001117111171111
2200628,132596,2015-11-01T01:00:00Z,43.0919,153.9209,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-01T02:00:00Z,43.1018,153.9289,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-01T03:00:00Z,43.1130,153.9350,0,9.8,1.4,0.18,0.01,0.5,313,15,0.15,0.278,001117111171111
2200628,132596,2015-11-01T04:00:00Z,43.1388,153.9531,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-01T05:00:00Z,43.1018,153.9289,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-01T06:00:00Z,43.1430,153.9590,0,10.6,-1.1,0.21,-0.02,0.5,313,15,0.203,0.278,001117111171111
2200628,132596,2015-11-01T07:00:00Z,43.1442,153.9572,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-01T08:00:00Z,43.1587,153.9823,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-01T09:00:00Z,43.1670,153.9890,0,10.3,-1.5,0.21,-0.04,0.5,313,15,0.131,0.221,001117111171111
2200628,132596,2015-11-01T10:00:00Z,43.1809,153.9974,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-01T11:00:00Z,43.1870,154.0030,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-01T12:00:00Z,43.1860,153.9940,0,9.4,-2.9,0.19,-0.06,0.5,313,15,0.094,0.232,001117111171111
2200628,132596,2015-11-01T13:00:00Z,43.1847,153.9896,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-01T14:00:00Z,43.2186,154.0211,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-01T15:00:00Z,43.2120,154.0140,0,9.3,-3.3,0.17,-0.06,0.5,313,15,0.146,0.221,001117111171111
2200628,132596,2015-11-01T16:00:00Z,43.2186,154.0211,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-01T17:00:00Z,43.2186,154.0210,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-01T18:00:00Z,43.2290,154.0330,0,9.1,-3.4,0.16,-0.06,0.5,313,15,0.026,0.298,001117111171111
2200628,132596,2015-11-01T19:00:00Z,43.2254,154.0250,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-01T20:00:00Z,43.2455,154.0498,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-01T21:00:00Z,43.2700,154.0210,0,7.1,-3.2,0.11,-0.04,0.5,313,15,0.067,0.381,001117111171111
2200628,132596,2015-11-01T22:00:00Z,43.2730,154.0213,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-01T23:00:00Z,43.3012,154.0358,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-02T00:00:00Z,43.3030,154.0510,0,6.3,2,0.07,0.02,0.5,313,15,0.153,0.417,001117111171111
2200628,132596,2015-11-02T01:00:00Z,43.3220,154.0463,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-02T02:00:00Z,43.3227,154.0457,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-02T03:00:00Z,43.3510,154.0620,0,5.4,6.5,0.07,0.09,0.5,313,15,0.172,0.448,001117111171111
2200628,132596,2015-11-02T04:00:00Z,43.3807,154.0846,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-02T05:00:00Z,43.3227,154.0457,0,,,,,,,,,,001447999999999
2200628,132596,2015-11-02T06:00:00Z,43.3900,154.0970,0,4.1,8.1,0.09,0.15,0.5,313,15,0.239,0.345,001117111171111
2200628,132596,2015-11-02T07:00:00Z,43.4023,154.1129,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-02T08:00:00Z,43.4045,154.1152,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-02T09:00:00Z,43.4180,154.1260,0,4.8,8,0.09,0.15,0.5,313,15,0.176,0.283,001117111171111
2200628,132596,2015-11-02T10:00:00Z,43.4256,154.1382,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-02T11:00:00Z,43.4398,154.1516,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-02T12:00:00Z,43.4450,154.1440,0,4.2,7.4,0.08,0.12,0.5,313,15,0.187,0.314,001117111171111
2200628,132596,2015-11-02T13:00:00Z,43.4414,154.1379,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-02T14:00:00Z,43.4414,154.1379,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-02T15:00:00Z,43.4790,154.1760,0,3.1,8.1,0.05,0.09,0.5,313,15,0.194,0.35,001117111171111
2200628,132596,2015-11-02T16:00:00Z,43.4857,154.1831,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-02T17:00:00Z,43.5057,154.1885,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-02T18:00:00Z,43.5130,154.1960,0,2.4,3.8,0.03,0.04,0.5,313,15,0.179,0.376,001117111171111
2200628,132596,2015-11-02T19:00:00Z,43.5207,154.2028,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-02T20:00:00Z,43.5414,154.2144,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-02T21:00:00Z,43.5520,154.2240,0,-4.7,0.2,-0.03,0,0.5,313,15,0.198,0.345,001117111171111
2200628,132596,2015-11-02T22:00:00Z,43.5727,154.2427,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-02T23:00:00Z,43.5727,154.2427,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-03T00:00:00Z,43.5800,154.2490,0,-6.4,-7.2,-0.09,-0.08,0.5,313,15,0.082,0.268,001117111171111
2200628,132596,2015-11-03T01:00:00Z,43.5847,154.2532,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-03T02:00:00Z,43.5926,154.2569,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-03T03:00:00Z,43.6040,154.2460,0,-5.3,-10,-0.11,-0.23,0.5,313,15,0.015,0.262,001117111171111
2200628,132596,2015-11-03T04:00:00Z,43.6045,154.2436,0,,,,,,,,,,001117999999999
2200628,132596,2015-11-03T05:00:00Z,43.6108,154.2497,0,,,,,,,,,,001117999999999
