PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PRES_ADJUSTED (decibar),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER,DATA_MODE
2901167,40956,2009-01-07T13:19:57Z,22.6640,121.6350,4.6,25.98,34.441,4.4,25.98,34.441,00111111111,0058_40956_009,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.2 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:38,Primary sampling: discrete [],1,1,D
2901167,40956,2009-01-07T13:19:57Z,22.6640,121.6350,9.3,25.979,34.441,9.1,25.979,34.441,00111111111,0058_40956_009,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.2 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:38,Primary sampling: discrete [],1,1,D
2901167,40956,2009-01-07T13:19:57Z,22.6640,121.6350,19.1,25.988,34.441,18.9,25.988,34.441,00111111111,0058_40956_009,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.2 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:38,Primary sampling: discrete [],1,1,D
2901167,40956,2009-01-07T13:19:57Z,22.6640,121.6350,49.3,25.997,34.439,49.1,25.997,34.4392,00111111111,0058_40956_009,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.2 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:38,Primary sampling: discrete [],1,1,D
2901167,40956,2009-01-07T13:19:57Z,22.6640,121.6350,69.2,25.927,34.428,69,25.927,34.4305,00111111111,0058_40956_009,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.2 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:38,Primary sampling: discrete [],1,1,D
2901167,40956,2009-01-07T13:19:57Z,22.6640,121.6350,79.5,25.185,34.351,79.3,25.185,34.3517,00111111111,0058_40956_009,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.2 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:38,Primary sampling: discrete [],1,1,D
2901167,40956,2009-01-07T13:19:57Z,22.6640,121.6350,89.5,24.994,34.363,89.3,24.994,34.3632,00111111111,0058_40956_009,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.2 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:38,Primary sampling: discrete [],1,1,D
2901167,40956,2009-01-07T13:19:57Z,22.6640,121.6350,99.7,24.947,34.751,99.5,24.947,34.7519,00111111111,0058_40956_009,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.2 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:38,Primary sampling: discrete [],1,1,D
2901167,40956,2009-01-07T13:19:57Z,22.6640,121.6350,109.3,24.701,34.815,109.1,24.701,34.8176,00111111111,0058_40956_009,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.2 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:38,Primary sampling: discrete [],1,1,D
2901167,40956,2009-01-07T13:19:57Z,22.6640,121.6350,119.3,23.95,34.914,119.1,23.95,34.9166,00111111111,0058_40956_009,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.2 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:38,Primary sampling: discrete [],1,1,D
2901167,40956,2009-01-07T13:19:57Z,22.6640,121.6350,129.7,23.189,34.926,129.5,23.189,34.9298,00111111111,0058_40956_009,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.2 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:38,Primary sampling: discrete [],1,1,D
2901167,40956,2009-01-07T13:19:57Z,22.6640,121.6350,139.5,22.146,34.922,139.3,22.146,34.9231,00111111111,0058_40956_009,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.2 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:38,Primary sampling: discrete [],1,1,D
2901167,40956,2009-01-07T13:19:57Z,22.6640,121.6350,149.5,21.836,34.923,149.3,21.836,34.924,00111111111,0058_40956_009,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.2 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:38,Primary sampling: discrete [],1,1,D
2901167,40956,2009-01-07T13:19:57Z,22.6640,121.6350,159.3,21.561,34.923,159.1,21.561,34.9238,00111111111,0058_40956_009,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.2 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:38,Primary sampling: discrete [],1,1,D
2901167,40956,2009-01-07T13:19:57Z,22.6640,121.6350,169.2,21.335,34.924,169,21.335,34.9246,00111111111,0058_40956_009,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.2 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:38,Primary sampling: discrete [],1,1,D
2901167,40956,2009-01-07T13:19:57Z,22.6640,121.6350,179.1,21.16,34.921,178.9,21.16,34.9219,00111111111,0058_40956_009,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.2 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:38,Primary sampling: discrete [],1,1,D
